	ERR9081485	ERR9081486	ERR9081487	ERR9081488	ERR9081489	ERR9081490
AT3G48280.1	0.979635	0.925393	0.882728	0.852942	0.630794	0.857293
AT3G48290.1	0.044684	0.039135	0.105873	0.027366	0.069581	0.011094
AT3G48290.2	0	0	0	0	0	0
AT3G48298.1	0	0	0	0	0	0
AT3G48300.1	0.246147	0.026924	0	0	0.095808	0
AT3G48300.2	0	0	0.129738	0.134125	0	0.027153
AT3G48310.1	9.186335	9.102222	5.543502	7.722735	8.823209	7.695935
AT3G48320.1	2.784659	3.186693	2.126757	2.075646	2.738062	1.87649
AT3G48330.1	29.249241	27.679193	27.444849	26.619103	26.488529	23.007647
AT3G48330.2	0.18849	0	0	0	0	0
AT3G48330.3	1.361307	0.734441	1.224193	0.721904	1.176985	1.074291
AT3G48330.4	1.278127	3.148681	3.254985	2.5323	2.038141	5.70515
AT3G48340.1	27.0151	24.873158	24.638553	25.27748	24.59352	29.745358
AT3G48343.1	0.27219	0.440235	0.211026	0.238164	0.282399	0.564153
AT3G48344.1	0	0	0	0	0	0
AT3G48346.1	0.625365	0.305773	0.498348	0.361886	0.261362	0.869865
AT3G48350.1	5.110866	4.533518	4.884313	4.840053	5.199099	5.286175
AT3G48350.2	0.892255	1.702986	0.845153	0.418338	0.931545	1.375474
AT3G48360.1	242.705363	257.293447	257.389455	256.819058	264.207877	242.616991
AT3G48360.2	97.224897	98.479045	100.715396	100.587243	109.195728	100.119326
AT3G48360.3	176.360909	182.840263	171.407251	171.264184	203.350213	157.462459
AT3G48380.1	47.912132	48.677266	52.283828	56.685316	54.028316	53.77303
AT3G48380.2	0	0	0	0	0	0.055316
AT3G48380.3	0	0	0	0	0	0
AT3G48390.1	23.543002	25.661536	23.631945	24.339758	24.957654	23.112621
AT3G48400.1	0.686661	0.786578	0.68121	0.425514	0.799258	0.665927
AT3G48410.1	3.116376	2.678578	3.410358	2.808353	2.949472	0
AT3G48410.2	0	0	0	0	0	2.831941
AT3G48420.1	77.625125	90.686447	70.322584	76.0965	73.314041	71.908464
AT3G48425.1	3.083331	2.337101	3.931858	3.10944	2.641427	2.797648
AT3G48430.1	8.234221	8.009761	7.840122	9.233829	7.56933	7.078828
AT3G48430.2	2.5535	2.692228	3.390209	1.719913	3.303334	3.221312
AT3G48440.1	2.740799	2.325891	3.241114	2.177604	2.343268	2.482834
AT3G48450.1	2.660098	3.461006	2.211538	1.816838	4.817731	4.08094
AT3G48450.2	7.148555	7.525236	6.681266	5.541472	6.568895	8.73985
AT3G48460.1	2.386657	2.99735	4.207688	4.266949	2.638805	4.141682
AT3G48470.1	0.089867	0.395287	0.218726	0	0.15147	0.156325
AT3G48470.2	2.795256	2.362172	2.886064	3.131834	2.97563	2.708356
AT3G48475.1	0	0	0	0	0.02572	0
AT3G48480.1	0.521379	0.823911	0.843836	0.741392	0.490158	0.370067
AT3G48490.1	4.363464	5.875497	6.788332	3.782143	3.75046	3.543485
AT3G48500.1	32.224396	31.265964	38.00607	31.766718	30.479399	30.68617
AT3G48500.2	0	0	0	0	0.036607	0.054114
AT3G48510.1	0.768846	0.36504	0.377819	0.439308	0.406793	0.394068
AT3G48520.1	4.316423	3.844068	3.567168	4.360855	4.028754	4.381586
AT3G48530.1	298.264934	300.659052	290.930534	314.406251	349.388367	340.597667
AT3G48540.1	1.736319	1.247554	2.396675	1.445502	2.010288	1.672662
AT3G48550.1	2.891935	3.070906	4.294633	3.023149	2.994468	2.786716
AT3G48550.2	0	0	0	0	0.130478	0.6673
AT3G48560.1	313.431889	308.212071	314.044213	335.310312	311.796462	315.991696
AT3G48570.1	23.577808	23.801635	20.751999	21.022499	22.459319	20.840123
AT3G48580.1	0.858105	0.731173	0.883577	1.033672	1.560036	0.97163
AT3G48580.2	0	0	0	0	0	0
AT3G48580.3	0	0	0	0.048787	0.065096	0.117996
AT3G48590.1	45.981715	48.067885	51.64164	48.515311	43.676241	46.301127
AT3G48600.1	0	0.78838	0.227965	0	0.394644	0.510424
AT3G48600.2	2.980025	2.483942	2.851001	2.750262	1.948415	1.901508
AT3G48610.1	6.931876	5.485483	8.49797	7.141911	5.079884	6.352502
AT3G48620.1	0	0.019666	0	0.027644	0.040037	0
AT3G48630.1	0	0	0	0	0	0
AT3G48640.1	0.238707	0	0.055472	0	0.159208	0
AT3G48640.2	0	0	0	0	0	0.23589
AT3G48640.3	0	0.084629	0.203918	0.239917	0	0
AT3G48660.1	0.723936	0	0.575263	1.019258	0.249724	0
AT3G48670.1	0	0.352736	1.243428	0	0	0.402681
AT3G48670.2	4.281944	2.511802	3.11354	3.524524	2.430556	4.353084
AT3G48670.3	9.923623	9.510836	10.048204	9.489459	9.38526	8.783509
AT3G48675.1	0	0	0	0	0	0
